quarter,month,activity_code,activity_name,targeted_group,girls,boys,female,male,total,budget_status,description
Q1,June 2026,R1A1.1,Household survey for out-of-school children,Households,0,0,0,0,0,Budgetary,Conduct household survey through community volunteers to identify out-of-school and dropout children.
Q1,July 2026,R1A2.3,Distribute scholastic material kits,Children,610,614,0,0,1224,Budgetary,Distribution of exercise books drawing books pens pencils water bottle erasers and sharpeners to enrolled children.
