order,heading,content
1,Overview,"SURAKKHA is a 24-month humanitarian initiative implemented by Friends in Village Development Bangladesh (FIVDB) as the local implementing partner, with technical support from Plan International Bangladesh (PIB) under a consortium led by Save the Children International (SCI). The project is being implemented in Rohingya Camps 1W, 6, 21, and 24 in Cox's Bazar."
2,Goal,"The project aims to improve the wellbeing, safety, and resilience of Rohingya refugee and host community children, adolescents, and their families by strengthening access to quality education and integrated child protection services."
3,Education Approach,"SURAKKHA establishes safe and inclusive Community-Based Learning Facilities (CBLFs) where out-of-school children and adolescents can continue their education in a supportive environment. The project also strengthens teaching quality through capacity building for educators, provides learning materials, promotes gender-responsive education, and encourages active participation of caregivers and community groups to create a positive learning environment."
4,Child Protection Services,"Alongside education, SURAKKHA delivers comprehensive child protection services through case management, psychosocial support, community-based protection mechanisms, and awareness activities to prevent and respond to risks such as violence, exploitation, child labour, child marriage, and gender-based violence. The project also strengthens referral pathways and builds the capacity of frontline workers and community volunteers to ensure timely support for vulnerable children."
5,Cross-Cutting Priorities,"Cross-cutting priorities including gender equality, disability inclusion, safeguarding, climate resilience, and Accountability to Affected Populations (AAP) are integrated throughout all project activities. Through strong community engagement and collaboration with humanitarian partners and local authorities, SURAKKHA seeks to build safer, more protective, and more inclusive communities where every child has the opportunity to learn, grow, and thrive."
